"","x"
"1","Rbmx"
"2","Hnrnpg"
"3","Hnrpg"
"4","Rbmxp1"
"5","Rbmxrt"
"6","Hnrnpk"
"7","Hnrpk"
"8","Snu13"
"9","Nhp2l1"
"10","Ssfa1"
"11","Ddx41"
"12","Syncrip"
"13","Hnrpq"
"14","Nsap1"
"15","Nsap1l"
"16","Eif4a3"
"17","Ddx48"
"18","Casc3"
"19","Mln51"
"20","Hnrnpc"
"21","Hnrpc"
"22","U2af1l4"
"23","U2af26"
"24","Alyref"
"25","Aly"
"26","Ref1"
"27","Refbp1"
"28","THOC4"
"29","Raly"
"30","Merc"
"31","Hnrnpa2b1"
"32","Hnrpa2b1"
"33","Snrpd3"
"34","Srsf1"
"35","Sfrs1"
"36","Hnrnpu"
"37","Hnrpu"
"38","Sf1"
"39","Zfm1"
"40","Zfp162"
"41","Snrpb"
"42","Hnrnpa1"
"43","Fli-2"
"44","Hnrpa1"
"45","Tis"
"46","Sf3b1"
"47","Sap155"
"48","Pabpc1"
"49","Pabp1"
"50","Ddx39b"
"51","Bat1"
"52","Bat1a"
"53","Uap56"
"54","Ddx5"
"55","Tnz2"
"56","Alyref2"
"57","Ref2"
"58","Refbp2"
"59","Cdc5l"
"60","Kiaa0432"
"61","Phf5a"
"62","Zrsr1"
"63","Sp2"
"64","Sp2-7"
"65","U2af1-rs1"
"66","U2af1l1"
"67","Atrx"
"68","Bcap29"
"69","Cdhr5"
"70","Mucdhl"
"71","Mupcdh"
"72","mCG_23289"
"73","Rbm14"
"74","mCG_8382"
"75","Acd"
"76","mCG_23541"
"77","Vmn1r167"
"78","mCG_1031296"
"79","Egfl8"
"80","mCG_142241"
"81","Zbtb20"
"82","Zfp288"
"83","Plvap"
"84","mCG_10378"
"85","Gm21477"
"86","Gm20855"
"87","Gm20896"
"88","Gm20916"
"89","Gm20931"
"90","Gm21095"
"91","Vmn1r233"
"92","V1rf5"
"93","mCG_142298"
"94","Sec1"
"95","Fbln1"
"96","mCG_13576"
"97","Pcdh11x"
"98","Pcdh11"
"99","Pth"
"100","mCG_15838"
"101","1700088E04Rik"
"102","mCG_13157"
"103","Gpd1l"
"104","mCG_118014"
"105","S100a6"
"106","mCG_22216"
"107","Nphs2"
"108","Ppp2r2a"
"109","mCG_141011"
"110","Pik3c2g"
"111","Cib2"
"112","mCG_7169"
"113","Kiss1r"
"114","Gpr54"
"115","mCG_13381"
"116","AU022751"
"117","Faim"
"118","mCG_9782"
"119","Msl3l2"
"120","1700060H10Rik"
